channel,message_id,version,published,edited,currency_a,currency_b,buy,sell,comment
MIRVALUTY,1901,v1,2022-10-14 12:10:59,2022-10-14 12:10:59,EUR,UAH,38.75,39.05,
MIRVALUTY,1902,v1,2022-10-14 12:42:45,2022-10-14 12:42:45,USD,UAH,40.5,40.65,
MIRVALUTY,1903,v1,2022-10-14 15:24:57,2022-10-14 15:24:57,USD,UAH,40.58,40.75,
MIRVALUTY,1904,v1,2022-10-14 16:16:27,2022-10-14 16:16:27,USD,UAH,40.6,40.8,
MIRVALUTY,1904,v1,2022-10-14 16:16:27,2022-10-14 16:16:27,EUR,UAH,38.8,39.05,
MIRVALUTY,1905,v1,2022-10-15 09:49:38,2022-10-15 09:49:38,EUR,UAH,38.8,39.1,
MIRVALUTY,1905,v1,2022-10-15 09:49:38,2022-10-15 09:49:38,PLN,UAH,8.0,8.25,
MIRVALUTY,1906,v1,2022-10-15 11:45:54,2022-10-15 11:45:54,USD,UAH,40.65,40.8,
MIRVALUTY,1906,v1,2022-10-15 11:45:54,2022-10-15 11:45:54,EUR,UAH,38.75,39.1,
MIRVALUTY,1907,v1,2022-10-15 12:21:31,2022-10-15 12:21:31,USD,UAH,40.68,40.8,
MIRVALUTY,1907,v1,2022-10-15 12:21:31,2022-10-15 12:21:31,EUR,UAH,38.8,39.05,
MIRVALUTY,1908,v1,2022-10-15 14:59:39,2022-10-15 14:59:39,USD,UAH,40.7,40.85,
MIRVALUTY,1909,v1,2022-10-15 16:15:57,2022-10-15 16:15:57,USD,UAH,40.7,40.9,
MIRVALUTY,1910,v1,2022-10-16 09:58:45,2022-10-16 09:58:45,USD,UAH,40.7,40.85,
MIRVALUTY,1912,v1,2022-10-17 10:49:33,2022-10-17 10:49:33,USD,UAH,40.65,40.8,
MIRVALUTY,1913,v1,2022-10-17 11:17:14,2022-10-17 11:17:14,USD,UAH,40.6,40.75,
MIRVALUTY,1914,v1,2022-10-17 17:06:32,2022-10-17 17:06:32,EUR,UAH,38.8,38.95,
MIRVALUTY,1915,v1,2022-10-18 09:34:32,2022-10-18 09:34:32,EUR,UAH,38.85,39.35,
MIRVALUTY,1915,v1,2022-10-18 09:34:32,2022-10-18 09:34:32,PLN,UAH,8.0,8.3,
MIRVALUTY,1916,v1,2022-10-18 10:41:01,2022-10-18 10:41:01,USD,UAH,40.65,40.8,
MIRVALUTY,1916,v1,2022-10-18 10:41:01,2022-10-18 10:41:01,EUR,UAH,38.9,39.35,
MIRVALUTY,1917,v1,2022-10-18 13:48:24,2022-10-18 13:48:24,USD,UAH,40.65,40.75,
MIRVALUTY,1917,v1,2022-10-18 13:48:24,2022-10-18 13:48:24,EUR,UAH,38.9,39.3,
MIRVALUTY,1918,v1,2022-10-18 13:56:08,2022-10-18 13:56:08,EUR,UAH,39.0,39.3,
MIRVALUTY,1919,v1,2022-10-19 09:02:41,2022-10-19 09:02:41,USD,UAH,40.65,40.8,
MIRVALUTY,1919,v1,2022-10-19 09:02:41,2022-10-19 09:02:41,EUR,UAH,39.05,39.4,
MIRVALUTY,1920,v1,2022-10-19 11:39:27,2022-10-19 11:39:27,USD,UAH,40.55,40.75,
MIRVALUTY,1921,v1,2022-10-31 10:08:51,2022-10-31 10:08:51,USD,UAH,39.65,39.95,
MIRVALUTY,1921,v1,2022-10-31 10:08:51,2022-10-31 10:08:51,EUR,UAH,38.8,39.2,
MIRVALUTY,1921,v1,2022-10-31 10:08:51,2022-10-31 10:08:51,CAD,UAH,29.0,30.2,
MIRVALUTY,1921,v1,2022-10-31 10:08:51,2022-10-31 10:08:51,CHF,UAH,39.2,40.5,
MIRVALUTY,1922,v1,2022-10-31 11:26:56,2022-10-31 11:26:56,USD,UAH,39.75,40.0,
MIRVALUTY,1922,v1,2022-10-31 11:26:56,2022-10-31 11:26:56,EUR,UAH,38.9,39.2,
MIRVALUTY,1923,v1,2022-10-31 15:05:03,2022-10-31 15:05:03,USD,UAH,39.9,40.1,
MIRVALUTY,1923,v1,2022-10-31 15:05:03,2022-10-31 15:05:03,EUR,UAH,39.0,39.3,
MIRVALUTY,1924,v1,2022-11-01 10:30:08,2022-11-01 10:30:08,USD,UAH,40.1,40.4,
MIRVALUTY,1924,v1,2022-11-01 10:30:08,2022-11-01 10:30:08,EUR,UAH,39.1,39.5,
MIRVALUTY,1924,v1,2022-11-01 10:30:08,2022-11-01 10:30:08,PLN,UAH,8.1,8.35,
MIRVALUTY,1924,v1,2022-11-01 10:30:08,2022-11-01 10:30:08,GBP,UAH,44.7,45.7,
MIRVALUTY,1924,v1,2022-11-01 10:30:08,2022-11-01 10:30:08,CHF,UAH,39.2,40.7,
MIRVALUTY,1925,v1,2022-11-01 11:50:15,2022-11-01 11:50:15,USD,UAH,40.2,40.5,
MIRVALUTY,1925,v1,2022-11-01 11:50:15,2022-11-01 11:50:15,EUR,UAH,39.2,39.7,
MIRVALUTY,1926,v1,2022-11-01 12:54:12,2022-11-01 12:54:12,USD,UAH,40.0,40.4,
MIRVALUTY,1926,v1,2022-11-01 12:54:12,2022-11-01 12:54:12,EUR,UAH,39.1,39.5,
MIRVALUTY,1927,v1,2022-11-01 14:16:36,2022-11-01 14:16:36,USD,UAH,39.9,40.25,
MIRVALUTY,1927,v1,2022-11-01 14:16:36,2022-11-01 14:16:36,EUR,UAH,39.0,39.4,
MIRVALUTY,1928,v1,2022-11-02 09:49:38,2022-11-02 10:28:02,USD,UAH,40.1,40.3,
MIRVALUTY,1928,v1,2022-11-02 09:49:38,2022-11-02 10:28:02,EUR,UAH,39.0,39.3,
MIRVALUTY,1928,v1,2022-11-02 09:49:38,2022-11-02 10:28:02,PLN,UAH,8.0,8.4,
MIRVALUTY,1928,v1,2022-11-02 09:49:38,2022-11-02 10:28:02,GBP,UAH,44.2,45.3,
MIRVALUTY,1930,v1,2022-11-02 11:53:05,2022-11-02 11:53:05,USD,UAH,40.2,40.5,
MIRVALUTY,1930,v1,2022-11-02 11:53:05,2022-11-02 11:53:05,EUR,UAH,39.1,39.5,
MIRVALUTY,1931,v1,2022-11-03 14:00:25,2022-11-03 14:00:25,USD,UAH,40.0,40.3,
MIRVALUTY,1931,v1,2022-11-03 14:00:25,2022-11-03 14:00:25,EUR,UAH,38.6,39.2,
MIRVALUTY,1932,v1,2022-11-14 09:34:04,2022-11-14 09:34:04,USD,UAH,40.5,40.7,
MIRVALUTY,1932,v1,2022-11-14 09:34:04,2022-11-14 09:34:04,EUR,UAH,40.7,41.15,
MIRVALUTY,1932,v1,2022-11-14 09:34:04,2022-11-14 09:34:04,PLN,UAH,8.4,8.8,
MIRVALUTY,1932,v1,2022-11-14 09:34:04,2022-11-14 09:34:04,GBP,UAH,45.8,47.0,
MIRVALUTY,1932,v1,2022-11-14 09:34:04,2022-11-14 09:34:04,CHF,UAH,40.4,41.5,
MIRVALUTY,1933,v1,2022-11-14 12:09:35,2022-11-14 12:09:35,USD,UAH,40.45,40.65,
MIRVALUTY,1933,v1,2022-11-14 12:09:35,2022-11-14 12:09:35,EUR,UAH,40.7,41.0,
MIRVALUTY,1934,v1,2022-11-14 13:17:59,2022-11-14 13:17:59,USD,UAH,40.4,40.55,
MIRVALUTY,1934,v1,2022-11-14 13:17:59,2022-11-14 13:17:59,EUR,UAH,40.6,41.0,
MIRVALUTY,1935,v1,2022-11-14 13:47:10,2022-11-14 13:47:10,USD,UAH,40.45,40.6,
MIRVALUTY,1936,v1,2022-11-15 09:07:59,2022-11-15 09:07:59,USD,UAH,40.5,40.65,
MIRVALUTY,1936,v1,2022-11-15 09:07:59,2022-11-15 09:07:59,EUR,UAH,40.7,41.1,
MIRVALUTY,1937,v1,2022-11-17 10:11:33,2022-11-17 10:11:33,USD,UAH,40.45,40.6,
MIRVALUTY,1937,v1,2022-11-17 10:11:33,2022-11-17 10:11:33,EUR,UAH,40.9,41.3,
MIRVALUTY,1937,v1,2022-11-17 10:11:33,2022-11-17 10:11:33,PLN,UAH,8.6,8.9,
MIRVALUTY,1937,v1,2022-11-17 10:11:33,2022-11-17 10:11:33,GBP,UAH,46.5,47.7,
MIRVALUTY,1937,v1,2022-11-17 10:11:33,2022-11-17 10:11:33,CHF,UAH,40.7,42.0,
MIRVALUTY,1938,v1,2022-11-17 14:24:57,2022-11-17 14:24:57,USD,UAH,40.3,40.5,
MIRVALUTY,1938,v1,2022-11-17 14:24:57,2022-11-17 14:24:57,EUR,UAH,40.7,41.2,
MIRVALUTY,1939,v1,2022-11-18 10:35:55,2022-11-18 10:35:55,USD,UAH,40.2,40.4,
MIRVALUTY,1939,v1,2022-11-18 10:35:55,2022-11-18 10:35:55,EUR,UAH,40.6,40.85,
MIRVALUTY,1939,v1,2022-11-18 10:35:55,2022-11-18 10:35:55,GBP,UAH,46.5,47.5,
MIRVALUTY,1940,v1,2022-11-18 11:33:07,2022-11-18 11:33:07,USD,UAH,40.1,40.3,
MIRVALUTY,1940,v1,2022-11-18 11:33:07,2022-11-18 11:33:07,EUR,UAH,40.4,40.8,
MIRVALUTY,1941,v1,2022-12-05 11:22:27,2022-12-05 11:22:27,USD,UAH,40.07,40.17,
MIRVALUTY,1941,v1,2022-12-05 11:22:27,2022-12-05 11:22:27,EUR,UAH,41.6,41.85,
MIRVALUTY,1941,v1,2022-12-05 11:22:27,2022-12-05 11:22:27,GBP,UAH,47.2,48.5,
MIRVALUTY,1941,v1,2022-12-05 11:22:27,2022-12-05 11:22:27,CAD,UAH,29.2,31.0,
MIRVALUTY,1941,v1,2022-12-05 11:22:27,2022-12-05 11:22:27,CHF,UAH,41.0,42.0,
MIRVALUTY,1942,v1,2022-12-06 10:42:19,2022-12-06 10:42:19,USD,UAH,40.03,40.15,
MIRVALUTY,1942,v1,2022-12-06 10:42:19,2022-12-06 10:42:19,EUR,UAH,41.5,41.8,
MIRVALUTY,1943,v1,2022-12-06 12:01:10,2022-12-06 12:01:10,USD,UAH,40.0,40.1,
MIRVALUTY,1943,v1,2022-12-06 12:01:10,2022-12-06 12:01:10,EUR,UAH,41.4,41.8,
MIRVALUTY,1944,v1,2022-12-06 18:14:16,2022-12-06 18:14:49,USD,UAH,39.93,40.03,
MIRVALUTY,1944,v1,2022-12-06 18:14:16,2022-12-06 18:14:49,EUR,UAH,41.4,41.7,
MIRVALUTY,1945,v1,2022-12-07 09:23:50,2022-12-07 09:23:50,USD,UAH,39.9,40.03,
MIRVALUTY,1945,v1,2022-12-07 09:23:50,2022-12-07 09:23:50,EUR,UAH,41.3,41.7,
MIRVALUTY,1946,v1,2022-12-07 11:09:59,2022-12-07 11:09:59,USD,UAH,39.85,39.98,
MIRVALUTY,1946,v1,2022-12-07 11:09:59,2022-12-07 11:09:59,EUR,UAH,41.25,41.6,
MIRVALUTY,1947,v1,2022-12-07 12:48:38,2022-12-07 12:48:38,USD,UAH,39.92,40.02,
MIRVALUTY,1947,v1,2022-12-07 12:48:38,2022-12-07 12:48:38,EUR,UAH,41.35,41.7,
MIRVALUTY,1948,v1,2022-12-07 14:43:29,2022-12-07 14:43:29,USD,UAH,39.95,40.05,
MIRVALUTY,1948,v1,2022-12-07 14:43:29,2022-12-07 14:43:29,EUR,UAH,41.45,41.75,
MIRVALUTY,1949,v1,2022-12-08 11:54:13,2022-12-08 11:54:13,USD,UAH,39.85,39.98,
MIRVALUTY,1949,v1,2022-12-08 11:54:13,2022-12-08 11:54:13,EUR,UAH,41.45,41.7,
