channel,message_id,version,published,edited,currency_a,currency_b,buy,sell,comment
GARANT,58228,v1,2025-10-24 13:59:20,2025-10-24 13:59:20,USD,UAH,42.05,42.17,від 3000$
GARANT,58228,v1,2025-10-24 13:59:20,2025-10-24 13:59:20,USD,UAH,42.05,42.13,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58228,v1,2025-10-24 13:59:20,2025-10-24 13:59:20,EUR,UAH,49.0,49.1,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58236,v1,2025-10-24 15:26:57,2025-10-24 15:26:57,EUR,USD,1.164,1.168,крос-курс (EUR/USD)
GARANT,58236,v1,2025-10-24 15:26:57,2025-10-24 15:26:57,USD,UAH,42.02,42.17,від 1000$
GARANT,58236,v1,2025-10-24 15:26:57,2025-10-24 15:26:57,USD,UAH,42.05,42.15,від 3000$
GARANT,58236,v1,2025-10-24 15:26:57,2025-10-24 15:26:57,USD,UAH,42.1,42.15,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58236,v1,2025-10-24 15:26:57,2025-10-24 15:26:57,EUR,UAH,49.0,49.22,від 1000€
GARANT,58236,v1,2025-10-24 15:26:57,2025-10-24 15:26:57,EUR,UAH,49.03,49.2,від 3000€
GARANT,58236,v1,2025-10-24 15:26:57,2025-10-24 15:26:57,EUR,UAH,49.05,49.15,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58236,v1,2025-10-24 15:26:57,2025-10-24 15:26:57,PLN,UAH,11.5,11.62,
GARANT,58239,v1,2025-10-24 15:46:40,2025-10-24 15:50:18,EUR,USD,1.165,1.17,крос-курс (EUR/USD)
GARANT,58239,v1,2025-10-24 15:46:40,2025-10-24 15:50:18,EUR,UAH,49.03,49.3,від 1000€
GARANT,58239,v1,2025-10-24 15:46:40,2025-10-24 15:50:18,EUR,UAH,49.06,49.28,від 3000€
GARANT,58239,v1,2025-10-24 15:46:40,2025-10-24 15:50:18,EUR,UAH,49.08,49.25,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58245,v1,2025-10-24 17:04:20,2025-10-24 17:04:20,EUR,USD,1.166,1.169,крос-курс (EUR/USD)
